Language,basicness_score_experimental,basicness_rank,basicness_score,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,normalized_length,normalized_pronounce_complexity,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,example_en_lemma,example_en_gloss,ili
en,0.7526951113409867,4,0.17818875369764448,0,0,"rose, rosebush",11,2,4,6.0,0.48650000000000004,3.307945e-05,2.0,0.299999999997,0.48650000000000004,0.14285714285510204,0.06588722711719067,0.0549999999999725,0.09090909090826446,rose,any of many shrubs of the genus Rosa that bear roses,i103203
nb,0.7282379089082259,3,0.9999999999323683,1,1,"rose, rosebush",0,1,1,4.0,0.466,2.19e-05,1.0,0.1249999999984375,0.466,0.0,0.031566924770927526,0.0,0.0,rose,any of many shrubs of the genus Rosa that bear roses,i103203
es,0.6623129306447371,3,0.20204388749608823,0,0,"rose, rosebush",0,1,5,4.0,0.186,5.13e-05,5.0,0.16666666666527777,0.186,0.3076923076899408,0.06339420512894473,0.0,0.0,rose,any of many shrubs of the genus Rosa that bear roses,i103203
it,0.6561202363917604,3,0.0,0,0,"rose, rosebush",5,2,10,5.0,0.1925,3.30699e-05,5.0,0.21428571428418366,0.1925,0.2258064516114464,0.03358180128203717,0.06849315068483768,0.09090909090826446,rose,any of many shrubs of the genus Rosa that bear roses,i103203
nb,0.9721617351629082,4,0.9999999999382222,0,0,wood,0,1,2,3.0,0.442,0.000692,2.0,0.0,0.442,0.11111111110987654,0.9999998554793418,0.0,0.0,wood,the hard fibrous lignified substance under the bark of trees,i116549
en,0.7356316873915328,3,0.0,0,1,wood,91,1,8,4.0,0.199,6.03e-05,8.0,0.099999999999,0.199,0.9999999999857143,0.12629543811823127,0.45499999999977253,0.0,wood,the hard fibrous lignified substance under the bark of trees,i116549
es,0.7008872569895107,3,0.47709646160271774,0,0,wood,12,1,3,6.0,0.189,4.9e-05,3.0,0.33333333333055554,0.189,0.1538461538449704,0.0604586973416169,0.32432432432344777,0.0,wood,the hard fibrous lignified substance under the bark of trees,i116549
it,0.674075902173139,3,0.4216415829383834,0,0,wood,44,2,5,6.0,0.1875,2.5725e-05,2.5,0.2857142857122449,0.1875,0.06451612903184183,0.02588247108571258,0.6027397260265716,0.09090909090826446,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0.8378451517817174,4,0.9999999998354863,0,1,midnight,0,1,1,7.0,0.884,1.35e-05,1.0,0.49999999999375,0.884,0.0,0.019427189480745944,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
es,0.8245504872378687,4,0.33911621778831597,0,0,midnight,0,1,1,10.0,0.758,7.59e-06,1.0,0.6666666666611111,0.758,0.0,0.007606794092379919,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
it,0.8221278866078773,4,0.0,0,0,midnight,0,1,3,10.0,0.797,1.78e-05,3.0,0.5714285714244898,0.797,0.09677419354776275,0.017575048002229848,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.7943333349284165,4,0.5371670029636761,0,0,midnight,0,1,1,8.0,0.638,2.04e-05,1.0,0.499999999995,0.638,0.0,0.03774882098736802,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.9512013257817309,4,0.0,1,1,"break of day, first light, morning",0,12,21,10.0,0.711,0.00017533333333333333,2.0,0.699999999993,0.711,0.14285714285510204,0.3815789600218311,0.0,0.999999999990909,break of day,the first light of day,i116932
nb,0.7872358568176212,4,0.999999999969152,0,0,"break of day, first light, morning",0,1,1,6.0,0.828,1.29e-06,1.0,0.3749999999953125,0.828,0.0,0.0017812171125177142,0.0,0.0,break of day,the first light of day,i116932
it,0.6925336096663536,3,0.30728860453599444,0,0,"break of day, first light, morning",0,7,26,5.333333333333333,0.36233333333333334,1.0616666666666668e-05,5.666666666666667,0.2380952380935374,0.36233333333333334,0.268817204299341,0.010045080917096182,0.0,0.5454545454495868,break of day,the first light of day,i116932
es,0.6741283496654065,3,0.9117118865110797,0,0,"break of day, first light, morning",0,2,4,6.0,0.194,1.91e-05,2.0,0.33333333333055554,0.194,0.0769230769224852,0.022297096106355233,0.0,0.24999999999375,break of day,the first light of day,i116932
nb,0.8509409244974167,4,0.9999999999738152,0,0,"dusk, fall, twilight",0,1,1,9.0,0.892,5.75e-08,1.0,0.749999999990625,0.892,0.0,0.0,0.0,0.0,dusk,the time of day immediately following sunset,i116935
es,0.8289140722820342,4,0.7838014212689397,0,0,"dusk, fall, twilight",1,3,6,9.666666666666666,0.7786666666666667,1.6299999999999999e-06,2.0,0.6388888888835648,0.7786666666666667,0.0769230769224852,0.0,0.02702702702695398,0.4999999999875,dusk,the time of day immediately following sunset,i116935
it,0.808536866556189,4,0.930884796289926,0,0,"dusk, fall, twilight",0,2,4,9.5,0.7925,1.034e-06,2.0,0.5357142857104592,0.7925,0.03225806451592091,0.0,0.0,0.09090909090826446,dusk,the time of day immediately following sunset,i116935
en,0.7568086052882138,4,0.0,0,1,"dusk, fall, twilight",1,9,22,5.333333333333333,0.26899999999999996,4.812e-05,5.333333333333333,0.23333333333099998,0.26899999999999996,0.6190476190387755,0.09926541815196775,0.0049999999999975,0.7272727272661157,dusk,the time of day immediately following sunset,i116935
en,0.9899030734543434,4,0.9999999997743869,0,1,"season, time of year",8,2,4,9.0,0.758,0.000454,2.0,0.599999999994,0.758,0.14285714285510204,0.9999997780786538,0.03999999999998,0.09090909090826446,season,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
it,0.8710914437662479,4,0.6216482723129402,0,1,"season, time of year",11,1,5,8.0,0.842,0.000129,5.0,0.42857142856836733,0.842,0.2258064516114464,0.13414103499065638,0.1506849315066429,0.0,season,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
es,0.8549550776259207,4,0.13262189353988849,0,1,"season, time of year",5,1,3,8.0,0.804,6.46e-05,3.0,0.49999999999583333,0.804,0.1538461538449704,0.08036909798610126,0.1351351351347699,0.0,season,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
nb,0.8085926238237607,4,0.0,0,0,"season, time of year",5,1,1,6.0,0.862,9.55e-07,1.0,0.3749999999953125,0.862,0.0,0.0012970729074926156,0.99999999998,0.0,season,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
nb,0.8665720837014954,4,0.9999999996624507,1,1,"summer, summertime",0,1,1,6.0,0.754,0.000102,1.0,0.3749999999953125,0.754,0.0,0.1473279720023019,0.0,0.0,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
en,0.8275681105644916,4,0.0,1,1,"summer, summertime",0,2,3,8.0,0.203,8.589e-05,1.5,0.499999999995,0.203,0.07142857142755102,0.18308511060892776,0.0,0.09090909090826446,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
it,0.8223434882771856,4,0.7152450952776261,1,1,"summer, summertime",0,1,2,6.0,0.729,6.92e-05,2.0,0.2857142857122449,0.729,0.03225806451592091,0.07145536932601693,0.0,0.0,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
es,0.7614401585709122,4,0.5897489495382485,1,1,"summer, summertime",0,1,1,6.0,0.2,8.71e-05,1.0,0.33333333333055554,0.2,0.0,0.10908602199256907,0.0,0.0,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
nb,0.8355646089932658,4,0.9999999999720984,1,1,"celebration, festivity",1,3,13,5.666666666666667,0.6749999999999999,4.47e-05,4.333333333333333,0.3333333333291667,0.6749999999999999,0.3703703703662551,0.06451763484427754,0.199999999996,0.6666666666444444,celebration,any joyous diversion,i37653
en,0.8329769740631087,4,0.012526635853313756,0,0,"celebration, festivity",7,2,4,10.0,0.7364999999999999,9.923499999999999e-06,2.0,0.699999999993,0.7364999999999999,0.14285714285510204,0.014499231153496115,0.0349999999999825,0.09090909090826446,celebration,any joyous diversion,i37653
es,0.8241245392716486,4,0.0,0,0,"celebration, festivity",3,2,5,9.0,0.7585,1.6795e-05,2.5,0.5833333333284723,0.7585,0.11538461538372781,0.019355206780359308,0.08108108108086194,0.24999999999375,celebration,any joyous diversion,i37653
it,0.793752691543872,4,0.010295457839917654,0,0,"celebration, festivity",3,2,7,9.75,0.6557499999999999,5.961749999999999e-06,3.0,0.5535714285674745,0.6557499999999999,0.09677419354776275,0.005165539949480384,0.04109589041090261,0.09090909090826446,celebration,any joyous diversion,i37653
nb,0.9246223555237311,4,0.9999999999201815,1,1,"soccer, association football",0,1,1,7.0,0.84,0.0002,1.0,0.49999999999375,0.84,0.0,0.2889582170544204,0.0,0.0,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
en,0.8865318255678661,4,0.13536832769702345,0,0,"soccer, association football",0,2,2,13.0,0.679,4.36e-05,1.0,0.99999999999,0.679,0.0,0.08923457330406044,0.0,0.09090909090826446,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
es,0.8552159470419454,4,0.7138268628131065,1,1,"soccer, association football",0,1,2,6.0,0.701,0.000115,2.0,0.33333333333055554,0.701,0.0769230769224852,0.14469500776058916,0.0,0.0,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
it,0.8288826783493184,4,0.0,1,1,"soccer, association football",0,3,14,7.0,0.7166666666666667,5.36e-05,4.666666666666667,0.35714285714030614,0.7166666666666667,0.20430107526749916,0.05510258697871969,0.0,0.18181818181652892,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
en,0.8383396109503664,4,0.0,0,1,"athletics, sport",20,2,10,7.0,0.7915,3.0155e-05,5.0,0.399999999996,0.7915,0.5714285714204081,0.05939724830846002,0.09999999999995,0.09090909090826446,athletics,an active diversion requiring physical exertion and competition,i38140
nb,0.832480382355158,4,0.9999999999515145,0,1,"athletics, sport",1,2,2,5.5,0.8320000000000001,4.7449999999999995e-05,1.0,0.31249999999609374,0.8320000000000001,0.0,0.06849195294522983,0.199999999996,0.3333333333222222,athletics,an active diversion requiring physical exertion and competition,i38140
it,0.8147017987432265,4,0.944044353230045,0,1,"athletics, sport",20,1,2,5.0,0.759,8.91e-05,2.0,0.21428571428418366,0.759,0.03225806451592091,0.09231564937160763,0.2739726027393507,0.0,athletics,an active diversion requiring physical exertion and competition,i38140
es,0.737953082775988,3,0.8144008869373575,0,1,"athletics, sport",8,1,2,7.0,0.208,4.9e-05,2.0,0.41666666666319446,0.208,0.0769230769224852,0.0604586973416169,0.21621621621563183,0.0,athletics,an active diversion requiring physical exertion and competition,i38140
es,0.9806162298605781,4,0.6126090244781982,0,1,"squealer, hog, pig",1,5,10,4.666666666666667,0.38599999999999995,0.00078514,2.6666666666666665,0.22222222222037039,0.38599999999999995,0.128205128204142,0.9999998723692266,0.02702702702695398,0.999999999975,squealer,domestic swine,i48199
nb,0.7368618876145692,3,0.999999999972297,0,1,"squealer, hog, pig",0,1,2,4.0,0.644,1.15e-05,2.0,0.1249999999984375,0.644,0.11111111110987654,0.016536776316416996,0.0,0.0,squealer,domestic swine,i48199
it,0.7303079281150417,3,0.6911194182952402,0,1,"squealer, hog, pig",0,3,10,6.5,0.42975,6.48675e-06,3.0,0.3214285714262755,0.42975,0.09677419354776275,0.005715873970783658,0.0,0.18181818181652892,squealer,domestic swine,i48199
en,0.6871950164615156,3,0.0,0,0,"squealer, hog, pig",1,5,15,4.666666666666667,0.429,5.855233333333334e-06,3.6666666666666665,0.16666666666500002,0.429,0.38095238094693873,0.005470879000123019,0.0049999999999975,0.36363636363305785,squealer,domestic swine,i48199
en,0.7599498142744295,4,0.36487137794112534,1,1,fish,13,1,4,4.0,0.197,7.94e-05,4.0,0.099999999999,0.197,0.4285714285653061,0.16868241524102545,0.0649999999999675,0.0,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
nb,0.7419788357481679,3,0.9999999999085151,1,1,fish,0,1,2,4.0,0.398,5.13e-05,2.0,0.1249999999984375,0.398,0.11111111110987654,0.07405599828656308,0.0,0.0,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,0.7197269302247413,3,0.0,1,0,fish,2,2,3,4.5,0.477,7.7734e-06,1.5,0.20833333333159723,0.477,0.0384615384612426,0.007840868930725973,0.05405405405390796,0.24999999999375,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
it,0.682376801464675,3,0.14321151603605306,1,0,fish,3,1,5,5.0,0.199,4.07e-05,5.0,0.21428571428418366,0.199,0.2258064516114464,0.04158009388383927,0.04109589041090261,0.0,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,0.7761591174576177,4,0.0,1,1,boat,8,3,12,6.666666666666667,0.40599999999999997,1.5689999999999997e-05,4.0,0.38888888888564815,0.40599999999999997,0.23076923076745562,0.01794488673470833,0.21621621621563183,0.4999999999875,boat,a small vessel for travel on water,i50885
it,0.7366426171083565,3,0.43024307398499034,1,0,boat,19,3,9,6.666666666666667,0.4163333333333334,8.995666666666666e-06,3.0,0.3333333333309524,0.4163333333333334,0.09677419354776275,0.008345859110367407,0.26027397260238316,0.18181818181652892,boat,a small vessel for travel on water,i50885
en,0.7207637598990511,3,0.9140853434351257,1,1,boat,26,1,2,4.0,0.202,5.13e-05,2.0,0.099999999999,0.202,0.14285714285510204,0.10632251696089369,0.129999999999935,0.0,boat,a small vessel for travel on water,i50885
nb,0.6813461893928962,3,0.9999999999547796,1,1,boat,2,1,1,3.0,0.203,5.01e-05,1.0,0.0,0.203,0.0,0.0723217503879657,0.399999999992,0.0,boat,a small vessel for travel on water,i50885
en,0.8473541140272535,4,0.0,0,1,"passenger vehicle, bus, coach",3,10,18,8.333333333333334,0.49666666666666665,5.856666666666666e-05,3.3333333333333335,0.533333333328,0.49666666666666665,0.33333333332857146,0.12244880145089217,0.0149999999999925,0.8181818181743802,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
it,0.7638678362657232,4,0.6236296165468862,0,0,"passenger vehicle, bus, coach",3,7,9,7.75,0.57625,1.0059725e-05,1.5,0.41071428571135205,0.57625,0.0,0.009461263875099962,0.04109589041090261,0.5454545454495868,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
es,0.7097027784675403,3,0.9400519749592954,0,1,"passenger vehicle, bus, coach",2,1,1,7.0,0.2,2.04e-05,1.0,0.41666666666319446,0.2,0.0,0.023956296160062264,0.05405405405390796,0.0,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
nb,0.682742994221833,3,0.9999999999726501,0,1,"passenger vehicle, bus, coach",0,1,1,4.0,0.273,3.89e-05,1.0,0.1249999999984375,0.273,0.0,0.05613543666772359,0.0,0.0,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
en,0.8351756168722168,4,0.14414788577350174,0,0,cathedral,2,1,2,9.0,0.865,9.77e-06,2.0,0.599999999994,0.865,0.14285714285510204,0.014158581887090415,0.009999999999995,0.0,cathedral,any large and important church,i51645
nb,0.8256783453409295,4,0.25419840543343397,0,0,cathedral,0,1,1,8.0,0.826,1.05e-06,1.0,0.6249999999921875,0.826,0.0,0.0014343675327982404,0.0,0.0,cathedral,any large and important church,i51645
es,0.8211469502363244,4,0.999999999622253,0,1,cathedral,0,1,2,8.0,0.753,1.82e-05,2.0,0.49999999999583333,0.753,0.0769230769224852,0.02114841914609652,0.0,0.0,cathedral,any large and important church,i51645
it,0.7679576377555343,4,0.0,0,0,cathedral,0,2,3,7.5,0.6445,1.705e-05,1.5,0.39285714285433676,0.6445,0.0,0.016788856543225174,0.0,0.09090909090826446,cathedral,any large and important church,i51645
en,0.9304046007435145,4,0.0,0,1,"church building, church",5,2,5,10.5,0.8734999999999999,0.000114,2.5,0.7499999999925,0.8734999999999999,0.21428571428265306,0.2454672010236788,0.0249999999999875,0.09090909090826446,church building,a place for public (especially Christian) worship,i51914
es,0.8704595852421969,4,0.14533271851894114,0,1,"church building, church",3,1,4,7.0,0.758,0.000132,4.0,0.41666666666319446,0.758,0.23076923076745562,0.16639223923214264,0.08108108108086194,0.0,church building,a place for public (especially Christian) worship,i51914
nb,0.8689307092772951,4,0.9999999999034187,0,1,"church building, church",1,3,3,8.333333333333334,0.8083333333333332,3.0011833333333336e-05,1.0,0.6666666666583334,0.8083333333333332,0.0,0.04329019969768205,0.199999999996,0.6666666666444444,church building,a place for public (especially Christian) worship,i51914
it,0.8535501634126963,4,0.6094573534734355,0,1,"church building, church",4,1,4,6.0,0.658,0.000191,4.0,0.2857142857122449,0.658,0.16129032257960457,0.1991328622683762,0.054794520547870144,0.0,church building,a place for public (especially Christian) worship,i51914
nb,0.803121286733084,4,0.9999999999683664,1,1,"crown, diadem",0,1,1,5.0,0.792,1.48e-05,1.0,0.249999999996875,0.792,0.0,0.02130595803755976,0.0,0.0,crown,an ornamental jeweled headdress signifying sovereignty,i52549
it,0.7295175930018502,3,0.4001958149872439,0,0,"crown, diadem",1,2,14,6.5,0.48750000000000004,1.2896e-05,7.0,0.3214285714262755,0.48750000000000004,0.3548387096751301,0.012434404115617944,0.013698630136967536,0.09090909090826446,crown,an ornamental jeweled headdress signifying sovereignty,i52549
en,0.7239708535247211,3,0.0,0,0,"crown, diadem",1,2,13,5.5,0.42700000000000005,1.82725e-05,6.5,0.2499999999975,0.42700000000000005,0.7857142857030612,0.033027444347119614,0.0049999999999975,0.09090909090826446,crown,an ornamental jeweled headdress signifying sovereignty,i52549
es,0.6853582407640412,3,0.563924050303822,0,0,"crown, diadem",0,1,6,6.0,0.2,2.95e-05,6.0,0.33333333333055554,0.2,0.38461538461242606,0.03557069653601146,0.0,0.0,crown,an ornamental jeweled headdress signifying sovereignty,i52549
nb,0.8269547678544727,4,0.9999999999713691,0,1,farm,1,3,5,8.0,0.6186666666666667,6.159566666666667e-06,1.6666666666666667,0.6249999999921875,0.6186666666666667,0.07407407407325103,0.008818746911473099,0.199999999996,0.6666666666444444,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
es,0.8241207198117472,4,0.0,0,0,farm,4,4,15,7.666666666666667,0.8093333333333333,1.5083333333333333e-05,4.333333333333333,0.4722222222182871,0.8093333333333333,0.256410256408284,0.01717059337631172,0.10810810810781592,0.74999999998125,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
it,0.8025445772181415,4,0.3718052461215041,0,0,farm,9,4,12,9.0,0.7306666666666667,6.7666666666666665e-06,3.6666666666666665,0.4999999999964286,0.7306666666666667,0.1397849462356573,0.006009298094205514,0.12328767123270783,0.2727272727247934,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
en,0.7030971278656223,3,0.8650493287517858,0,1,farm,13,1,1,4.0,0.204,5.62e-05,1.0,0.099999999999,0.204,0.0,0.11719666292433303,0.0649999999999675,0.0,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
nb,0.7686992310834364,4,0.9999999997941377,0,1,guitar,0,1,1,5.0,0.694,1.32e-05,1.0,0.249999999996875,0.694,0.0,0.0189936275060966,0.0,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
en,0.7637755117207752,4,0.49605822252521437,0,0,guitar,6,1,1,6.0,0.592,3.02e-05,1.0,0.299999999997,0.592,0.0,0.05949711291424671,0.029999999999985,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
es,0.7255920027224637,3,0.3602085835471374,0,1,guitar,1,1,2,8.0,0.197,1.86e-05,2.0,0.49999999999583333,0.197,0.0769230769224852,0.02165894223954484,0.02702702702695398,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
it,0.6881211927530269,3,0.0,0,0,guitar,2,1,2,8.0,0.2,1.91e-05,2.0,0.42857142856836733,0.2,0.03225806451592091,0.01893777986450462,0.027397260273935072,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
es,0.7951222048604664,4,0.47082691693858764,0,1,"inn, lodge, hostel",1,5,8,7.666666666666667,0.5656666666666667,3.6666666666666666e-06,2.0,0.4722222222182871,0.5656666666666667,0.0769230769224852,0.002599413417474346,0.02702702702695398,0.999999999975,inn,a hotel providing overnight lodging for travelers,i54942
en,0.7094258884087228,3,0.0,0,0,"inn, lodge, hostel",4,5,11,4.666666666666667,0.523,8.796666666666667e-06,3.0,0.16666666666500002,0.523,0.2857142857102041,0.011998547450815389,0.01999999999999,0.36363636363305785,inn,a hotel providing overnight lodging for travelers,i54942
it,0.6617037626061981,3,0.9890799264924043,0,0,"inn, lodge, hostel",1,1,2,7.0,0.202,3.31e-06,2.0,0.35714285714030614,0.202,0.03225806451592091,0.0023858290142595214,0.013698630136967536,0.0,inn,a hotel providing overnight lodging for travelers,i54942
nb,0.6353015518066046,3,0.9999999999497601,0,0,"inn, lodge, hostel",0,1,1,3.0,0.446,2.14e-06,1.0,0.0,0.446,0.0,0.0030096427073575175,0.0,0.0,inn,a hotel providing overnight lodging for travelers,i54942
es,0.7786684773860585,4,0.7298849032130046,0,0,"boiler, kettle",0,1,1,7.0,0.73,4.57e-06,1.0,0.41666666666319446,0.73,0.0,0.0037523447368451287,0.0,0.0,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
it,0.7353816301145286,3,0.3585345284507466,0,0,"boiler, kettle",0,2,6,8.0,0.47050000000000003,2.389e-06,3.0,0.42857142856836733,0.47050000000000003,0.09677419354776275,0.00142038590260178,0.0,0.09090909090826446,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
nb,0.7173279445093256,3,0.9999999999319567,0,1,"boiler, kettle",0,1,1,5.0,0.472,2.19e-06,1.0,0.249999999996875,0.472,0.0,0.003081903036465742,0.0,0.0,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
en,0.7132499092577704,3,0.0,0,0,"boiler, kettle",1,2,6,6.0,0.46699999999999997,4.2999999999999995e-06,3.0,0.299999999997,0.46699999999999997,0.2857142857102041,0.00201948425035302,0.0049999999999975,0.09090909090826446,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
nb,0.784592338228974,4,0.9999999999435947,0,1,"knight, horse",0,2,3,6.0,0.6145,1.4874999999999999e-05,1.5,0.3749999999953125,0.6145,0.05555555555493827,0.021414348531222094,0.0,0.3333333333222222,knight,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
en,0.7165116383788174,3,0.15060675923855402,0,1,"knight, horse",0,2,7,5.5,0.2,3.83e-05,3.5,0.2499999999975,0.2,0.3571428571377551,0.07747274195585054,0.0,0.09090909090826446,knight,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
es,0.7112086903103233,3,0.0,0,0,"knight, horse",0,1,8,7.0,0.198,3.63e-05,8.0,0.41666666666319446,0.198,0.5384615384573964,0.044249589124632845,0.0,0.0,knight,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
it,0.6973161601494948,3,0.3152752840265473,0,0,"knight, horse",0,1,7,7.0,0.198,4.68e-05,7.0,0.35714285714030614,0.198,0.3548387096751301,0.047974451083743964,0.0,0.0,knight,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
nb,0.8769364736245581,4,0.8558571267872923,0,0,"monument, memorial",0,1,1,11.0,0.858,1.38e-06,1.0,0.9999999999875,0.858,0.0,0.0019112857049125168,0.0,0.0,monument,a structure erected to commemorate persons or events,i56131
it,0.84060854400884,4,0.6248103038329427,0,0,"monument, memorial",9,2,4,16.0,0.5075000000000001,1.077e-05,2.0,0.9999999999928572,0.5075000000000001,0.03225806451592091,0.010205813393159359,0.12328767123270783,0.09090909090826446,monument,a structure erected to commemorate persons or events,i56131
en,0.7793830057477844,4,0.0,0,0,"monument, memorial",12,2,6,8.0,0.529,1.682e-05,3.0,0.499999999995,0.529,0.2857142857102041,0.02980403679367152,0.05999999999997,0.09090909090826446,monument,a structure erected to commemorate persons or events,i56131
