Language,basicness_score,basicness_rank,basicness_score_softmax,basicness_score_softmax_clip,basicness_score_softmax_scale,combined_metric_softmax,combined_metric_softmax_clip,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,normalized_length,normalized_pronounce_complexity,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,example_en_lemma,example_en_gloss,ili
nb,0.8515881143737557,4,0.0036798192438565244,0.0036798192438565244,0.003679819243856525,0.558586625818892,0.558586625818892,0,1,"moving ridge, wave",0,3,7,5.666666666666667,0.5656666666666667,7.2933333333333335e-06,2.3333333333333335,0.3333333333291667,0.5656666666666667,0.14814814814650207,0.010457273960778442,0.0,0.6666666666444444,moving ridge,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),i75330
en,0.6503051425888932,3,0.003294146138271831,0.003294146138271831,0.0032941461382718315,0.4478699891214193,0.4478699891214193,1,0,"moving ridge, wave",13,2,10,8.0,0.528,2.67e-05,5.0,0.499999999995,0.528,0.5714285714204081,0.05172986579750432,0.0649999999999675,0.09090909090826446,moving ridge,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),i75330
en,0.9999999998976068,4,0.004919930202356706,0.004919930202356706,0.004919930202356707,0.8490173372523778,0.8490173372523778,1,1,party,11,1,5,5.0,0.207,0.000309,5.0,0.199999999998,0.207,0.5714285714204081,0.6782138260993262,0.0549999999999725,0.0,party,an occasion on which people can assemble for social interaction and entertainment,i75850
nb,0.5986882867620591,3,0.00419342228589431,0.00419342228589431,0.00419342228589431,0.6892401685932298,0.6892401685932298,1,1,party,0,3,13,5.666666666666667,0.6749999999999999,4.47e-05,4.333333333333333,0.3333333333291667,0.6749999999999999,0.3703703703662551,0.06451763484427754,0.0,0.6666666666444444,party,an occasion on which people can assemble for social interaction and entertainment,i75850
it,0.5896700194187844,3,0.0041700802070855246,0.0041700802070855246,0.0041700802070855246,0.6836582633004635,0.6836582633004635,1,1,party,4,3,12,7.0,0.5706666666666667,4.88e-05,4.0,0.35714285714030614,0.5706666666666667,0.16129032257960457,0.05007096164108976,0.054794520547870144,0.18181818181652892,party,an occasion on which people can assemble for social interaction and entertainment,i75850
es,0.0,1,0.003558488482394663,0.003558488482394663,0.003558488482394663,0.5250588644674524,0.5250588644674524,1,0,party,5,1,4,6.0,0.758,9.77e-05,4.0,0.33333333333055554,0.758,0.23076923076745562,0.12261488396894947,0.1351351351347699,0.0,party,an occasion on which people can assemble for social interaction and entertainment,i75850
es,0.9999999999123041,4,0.0038777789886121176,0.0038777789886121176,0.0038777789886121176,0.6109855574833116,0.6109855574833116,1,1,breakfast,0,2,6,8.0,0.487,1.925e-05,3.0,0.49999999999583333,0.487,0.1538461538449704,0.02248854226639835,0.0,0.24999999999375,breakfast,the first meal of the day (usually in the morning),i76564
nb,0.5478580878244059,3,0.0032874209495123343,0.0032874209495123343,0.0032874209495123343,0.4458263448007179,0.4458263448007179,0,1,breakfast,0,1,1,7.0,0.871,2.51e-05,1.0,0.49999999999375,0.871,0.0,0.036191585833853845,0.0,0.0,breakfast,the first meal of the day (usually in the morning),i76564
en,0.5397333283219794,3,0.0031254710938296865,0.0031254710938296865,0.003125471093829687,0.3953080152138763,0.3953080152138763,0,1,breakfast,2,1,1,9.0,0.874,4.07e-05,1.0,0.599999999994,0.874,0.0,0.08279885426447388,0.009999999999995,0.0,breakfast,the first meal of the day (usually in the morning),i76564
it,0.0,1,0.0025661031081354903,0.0025661031081354903,0.0025661031081354907,0.1981114411856445,0.1981114411856445,0,0,breakfast,0,2,4,12.0,0.5015000000000001,3.93e-05,2.0,0.7142857142806123,0.5015000000000001,0.03225806451592091,0.04011253649369721,0.0,0.09090909090826446,breakfast,the first meal of the day (usually in the morning),i76564
nb,0.999999999915189,4,0.004167715806925452,0.004167715806925452,0.0041677158069254525,0.6830911109692054,0.6830911109692054,1,1,pastry,1,2,3,5.5,0.8415,1.13295e-05,1.5,0.31249999999609374,0.8415,0.05555555555493827,0.01629036859415795,0.199999999996,0.3333333333222222,pastry,any of various baked foods made of dough or batter,i76902
it,0.18558490250605397,1,0.0034438298482786602,0.0034438298482786602,0.0034438298482786607,0.4923071734449463,0.4923071734449463,0,0,pastry,7,1,4,5.0,0.206,3.89e-05,4.0,0.21428571428418366,0.206,0.16129032257960457,0.03969323438222805,0.09589041095877275,0.0,pastry,any of various baked foods made of dough or batter,i76902
en,0.0,1,0.003165050143288758,0.003165050143288758,0.0031650501432887584,0.40789189189351355,0.40789189189351355,0,0,pastry,17,1,2,6.0,0.636,3.39e-06,2.0,0.299999999997,0.636,0.14285714285510204,0.0,0.0849999999999575,0.0,pastry,any of various baked foods made of dough or batter,i76902
es,0.01114710836870567,1,0.0028165812063451153,0.0028165812063451153,0.0028165812063451158,0.2912468046597696,0.2912468046597696,0,0,pastry,8,2,2,8.0,0.7415,1.795e-06,1.0,0.49999999999583333,0.7415,0.0,0.00021059077604743077,0.21621621621563183,0.24999999999375,pastry,any of various baked foods made of dough or batter,i76902
en,0.9999999998492997,4,0.003999880638168934,0.003999880638168934,0.003999880638168934,0.641987513578544,0.641987513578544,0,1,"jambon, gammon, ham",2,3,7,5.0,0.418,4.522233333333333e-06,2.3333333333333335,0.199999999998,0.418,0.19047619047346942,0.00251266745537513,0.009999999999995,0.18181818181652892,jambon,meat cut from the thigh of a hog (usually smoked),i77246
es,0.14047053928324188,1,0.003373185513708683,0.003373185513708683,0.0033731855137086836,0.47158054754590556,0.47158054754590556,0,0,"jambon, gammon, ham",0,1,1,5.0,0.191,7.24e-06,1.0,0.24999999999791667,0.191,0.0,0.007160086385612642,0.0,0.0,jambon,meat cut from the thigh of a hog (usually smoked),i77246
nb,0.049833909245795255,1,0.003032607658284557,0.003032607658284557,0.0030326076582845576,0.36514585606287986,0.36514585606287986,0,0,"jambon, gammon, ham",0,1,1,6.0,0.669,4.07e-06,1.0,0.3749999999953125,0.669,0.0,0.005798891410934953,0.0,0.0,jambon,meat cut from the thigh of a hog (usually smoked),i77246
it,0.0,1,0.0027064277501070346,0.0027064277501070346,0.002706427750107035,0.2513525853062471,0.2513525853062471,0,0,"jambon, gammon, ham",0,1,2,10.0,0.764,7.59e-06,2.0,0.5714285714244898,0.764,0.03225806451592091,0.006872361606979536,0.0,0.0,jambon,meat cut from the thigh of a hog (usually smoked),i77246
es,0.9999999998421043,4,0.003877486078356572,0.003877486078356572,0.0038774860783565724,0.6109100190579566,0.6109100190579566,0,1,"bean, edible bean",1,2,9,5.5,0.1905,3.851e-06,4.5,0.29166666666423613,0.1905,0.2692307692286982,0.002834679476371779,0.02702702702695398,0.24999999999375,bean,any of various edible seeds of plants of the family Leguminosae used for food,i77610
it,0.7546018291713129,4,0.0034634571640311937,0.0034634571640311937,0.0034634571640311937,0.4979902639386979,0.4979902639386979,1,0,"bean, edible bean",0,1,4,7.0,0.811,1.51e-06,4.0,0.35714285714030614,0.811,0.16129032257960457,0.0004989695126483006,0.0,0.0,bean,any of various edible seeds of plants of the family Leguminosae used for food,i77610
nb,0.0,1,0.0032480083396894113,0.0032480083396894113,0.0032480083396894117,0.4337649832961558,0.4337649832961558,0,0,"bean, edible bean",0,1,1,5.0,0.651,5.89e-07,1.0,0.249999999996875,0.651,0.0,0.0007681272984204181,0.0,0.0,bean,any of various edible seeds of plants of the family Leguminosae used for food,i77610
en,0.007892143428764934,1,0.002944185371624778,0.002944185371624778,0.0029441853716247785,0.3355551581511711,0.3355551581511711,0,0,"bean, edible bean",3,2,5,7.5,0.5345,6.25e-06,2.5,0.4499999999955,0.5345,0.21428571428265306,0.006346950501109496,0.0149999999999925,0.09090909090826446,bean,any of various edible seeds of plants of the family Leguminosae used for food,i77610
es,0.9999999998607189,4,0.003973073994303435,0.003973073994303435,0.003973073994303436,0.6352630943105021,0.6352630943105021,0,1,cheese,4,1,1,5.0,0.199,2.82e-05,1.0,0.24999999999791667,0.199,0.0,0.03391149648230444,0.10810810810781592,0.0,cheese,a solid food prepared from the pressed curd of milk,i78427
en,0.9579864569853435,4,0.0037325452746085506,0.0037325452746085506,0.003732545274608551,0.5728133735541404,0.5728133735541404,0,1,cheese,26,1,2,6.0,0.677,3.72e-05,2.0,0.299999999997,0.677,0.14285714285510204,0.0750316071477315,0.129999999999935,0.0,cheese,a solid food prepared from the pressed curd of milk,i78427
nb,0.8784918074121669,4,0.003721754599009512,0.003721754599009512,0.0037217545990095124,0.5699182168474848,0.5699182168474848,0,1,cheese,0,2,2,5.5,0.569,1.02e-05,1.0,0.31249999999609374,0.569,0.0,0.01465800775960318,0.0,0.3333333333222222,cheese,a solid food prepared from the pressed curd of milk,i78427
it,0.0,1,0.0030633543129348455,0.0030633543129348455,0.003063354312934846,0.37523348965624614,0.37523348965624614,0,0,cheese,10,2,4,7.0,0.667,9.7775e-06,2.0,0.35714285714030614,0.667,0.03225806451592091,0.009165420029076506,0.13698630136967535,0.09090909090826446,cheese,a solid food prepared from the pressed curd of milk,i78427
nb,0.9999999998680094,4,0.0042409794190822366,0.0042409794190822366,0.0042409794190822366,0.700517230996834,0.700517230996834,0,1,beer,0,4,4,3.6666666666666665,0.5063333333333333,2.4230333333333334e-05,1.0,0.08333333333229165,0.5063333333333333,0.0,0.03493473784289814,0.0,0.9999999999666667,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,i78683
en,0.38018782549992497,2,0.0036742811329941675,0.0036742811329941675,0.0036742811329941675,0.5570804968226959,0.5570804968226959,0,0,beer,4,1,1,4.0,0.233,5.01e-05,1.0,0.099999999999,0.233,0.0,0.103659460806582,0.01999999999999,0.0,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,i78683
it,0.16387655591496533,1,0.003446141117706621,0.003446141117706621,0.0034461411177066216,0.49297808179160446,0.49297808179160446,0,0,beer,2,1,3,5.0,0.195,3.63e-05,3.0,0.21428571428418366,0.195,0.09677419354776275,0.03696777065767851,0.027397260273935072,0.0,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,i78683
es,0.0,1,0.002967321776333582,0.002967321776333582,0.0029673217763335822,0.34338278053695276,0.34338278053695276,0,0,beer,4,1,1,7.0,0.694,3.31e-05,1.0,0.41666666666319446,0.694,0.0,0.040165404377046306,0.10810810810781592,0.0,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,i78683
en,0.8829972112258784,4,0.004320090574648705,0.004320090574648705,0.004320090574648705,0.7189993617517499,0.7189993617517499,0,1,"wine, vino",24,2,3,4.0,0.1865,2.77945e-05,1.5,0.099999999999,0.1865,0.07142857142755102,0.05415879493158276,0.11999999999994,0.09090909090826446,wine,fermented juice (of grapes especially),i78715
it,0.821511139730551,4,0.004224234307974728,0.004224234307974728,0.004224234307974728,0.6965610088651328,0.6965610088651328,0,1,"wine, vino",17,1,2,4.0,0.19,6.46e-05,2.0,0.14285714285612244,0.19,0.03225806451592091,0.06663339504412158,0.23287671232844812,0.0,wine,fermented juice (of grapes especially),i78715
es,0.9999999994623496,4,0.004183996231370835,0.004183996231370835,0.004183996231370835,0.6869898193998835,0.6869898193998835,0,1,"wine, vino",7,1,1,4.0,0.197,9.12e-05,1.0,0.16666666666527777,0.197,0.0,0.1143188837004143,0.18918918918867786,0.0,wine,fermented juice (of grapes especially),i78715
nb,0.0,1,0.003871592855125451,0.003871592855125451,0.003871592855125452,0.6093890061949151,0.6093890061949151,0,1,"wine, vino",0,2,3,5.0,0.511,1.86e-05,1.5,0.249999999996875,0.511,0.05555555555493827,0.026797743049784765,0.0,0.3333333333222222,wine,fermented juice (of grapes especially),i78715
en,0.9999999998359582,4,0.003973180398251088,0.003973180398251088,0.003973180398251088,0.6352898752169274,0.6352898752169274,0,1,"java, coffee",13,2,7,5.0,0.582,4.12e-05,3.5,0.199999999998,0.582,0.3571428571377551,0.08390846099543707,0.0649999999999675,0.09090909090826446,java,a beverage consisting of an infusion of ground coffee beans,i78981
nb,0.8610793325683533,4,0.0038178284087788386,0.0038178284087788386,0.0038178284087788394,0.595404774957206,0.595404774957206,0,1,"java, coffee",0,2,2,5.0,0.6965,2.76145e-05,1.0,0.249999999996875,0.6965,0.0,0.039825557784706415,0.0,0.3333333333222222,java,a beverage consisting of an infusion of ground coffee beans,i78981
es,0.1319480965243752,1,0.003547598506271405,0.003547598506271405,0.0035475985062714058,0.5219938908284527,0.5219938908284527,0,0,"java, coffee",2,1,5,4.0,0.198,6.46e-05,5.0,0.16666666666527777,0.198,0.3076923076899408,0.08036909798610126,0.05405405405390796,0.0,java,a beverage consisting of an infusion of ground coffee beans,i78981
it,0.0,1,0.0033690071713222323,0.0033690071713222323,0.0033690071713222323,0.47034108640423644,0.47034108640423644,0,0,"java, coffee",8,1,8,5.0,0.507,6.76e-05,8.0,0.21428571428418366,0.507,0.4193548387069719,0.06977816088014029,0.10958904109574029,0.0,java,a beverage consisting of an infusion of ground coffee beans,i78981
en,0.9999999998725229,4,0.0045789271929261586,0.0045789271929261586,0.00457892719292616,0.7771877266975283,0.7771877266975283,0,1,tea,5,1,5,3.0,0.193,5.37e-05,5.0,0.0,0.193,0.5714285714204081,0.11164862926951705,0.0249999999999875,0.0,tea,a beverage made by steeping tea leaves in water,i79004
it,0.5251817945294077,3,0.004334046688101414,0.004334046688101414,0.004334046688101413,0.7222246689377376,0.7222246689377376,1,0,tea,2,2,9,2.5,0.197,9.810000000000001e-06,4.5,0.03571428571403061,0.197,0.1935483870955255,0.009199488325633375,0.027397260273935072,0.09090909090826446,tea,a beverage made by steeping tea leaves in water,i79004
nb,0.6609842612123673,3,0.004153420558621034,0.004153420558621034,0.004153420558621034,0.6796552191054508,0.6796552191054508,0,1,tea,0,2,2,4.0,0.481,2.087185e-05,1.0,0.1249999999984375,0.481,0.0,0.03008103562347512,0.0,0.3333333333222222,tea,a beverage made by steeping tea leaves in water,i79004
es,0.0,1,0.0038645915712814914,0.0038645915712814914,0.003864591571281492,0.6075789961513356,0.6075789961513356,0,0,tea,1,1,4,2.0,0.196,1.95e-05,4.0,0.0,0.196,0.23076923076745562,0.022807619199803546,0.02702702702695398,0.0,tea,a beverage made by steeping tea leaves in water,i79004
it,0.9999999998454782,4,0.004431360156084017,0.004431360156084017,0.004431360156084017,0.7444295632697968,0.7444295632697968,1,1,"family, sept, family line",4,12,66,6.0,0.5353333333333333,0.00027583333333333333,9.666666666666666,0.2857142857122449,0.5353333333333333,0.5268817204267082,0.28805985174246057,0.054794520547870144,0.999999999990909,family,people descended from a common ancestor,i79200
en,0.9706662923253097,4,0.0043139860996912254,0.0043139860996912254,0.0043139860996912254,0.717585319184167,0.717585319184167,1,1,"family, sept, family line",5,7,18,7.0,0.2996666666666667,0.00022113333333333333,3.6666666666666665,0.399999999996,0.2996666666666667,0.38095238094693873,0.48321893657806014,0.0249999999999875,0.5454545454495868,family,people descended from a common ancestor,i79200
nb,0.7147137690641668,3,0.003967948681494452,0.003967948681494452,0.003967948681494453,0.6339722496095324,0.6339722496095324,1,1,"family, sept, family line",1,3,5,6.333333333333333,0.8099999999999999,5.087066666666667e-05,1.6666666666666667,0.4166666666614583,0.8099999999999999,0.07407407407325103,0.07343552292728713,0.199999999996,0.6666666666444444,family,people descended from a common ancestor,i79200
es,0.0,1,0.003671256761286663,0.003671256761286663,0.003671256761286663,0.5562570385758172,0.5562570385758172,1,0,"family, sept, family line",3,2,8,6.5,0.19,0.000171785,4.0,0.374999999996875,0.19,0.23076923076745562,0.21717014241424584,0.08108108108086194,0.24999999999375,family,people descended from a common ancestor,i79200
it,0.9999999998095302,4,0.004081284423452885,0.004081284423452885,0.004081284423452885,0.6621347419053834,0.6621347419053834,1,1,"settlement, small town, village",0,4,17,7.666666666666667,0.6186666666666666,0.0001442,4.666666666666667,0.40476190475901364,0.6186666666666666,0.20430107526749916,0.1500745152264845,0.0,0.2727272727247934,settlement,a community of people smaller than a town,i80343
nb,0.7815224207117587,4,0.003766942004852455,0.003766942004852455,0.0037669420048524554,0.5819865263736606,0.5819865263736606,1,1,"settlement, small town, village",0,1,1,7.0,0.831,6.17e-06,1.0,0.49999999999375,0.831,0.0,0.00883382523348035,0.0,0.0,settlement,a community of people smaller than a town,i80343
es,0.0,1,0.0036457612962894096,0.0036457612962894096,0.0036457612962894096,0.5492881974500242,0.5492881974500242,1,0,"settlement, small town, village",1,1,13,6.0,0.748,0.000324,13.0,0.33333333333055554,0.748,0.9230769230698225,0.41144332408733464,0.02702702702695398,0.0,settlement,a community of people smaller than a town,i80343
en,0.8231577230286348,4,0.00362452055241916,0.00362452055241916,0.00362452055241916,0.5434450115193716,0.5434450115193716,1,1,"settlement, small town, village",1,3,11,9.0,0.7786666666666666,7e-05,3.6666666666666665,0.599999999994,0.7786666666666666,0.38095238094693873,0.14782180869891728,0.0049999999999975,0.18181818181652892,settlement,a community of people smaller than a town,i80343
it,0.9999999998575343,4,0.003594013735278843,0.003594013735278843,0.0035940137352788435,0.5349926034404952,0.5349926034404952,0,1,"culture, civilisation, civilization",0,2,16,7.0,0.792,0.00010075,8.0,0.35714285714030614,0.792,0.4193548387069719,0.10452782336814692,0.0,0.09090909090826446,culture,a particular society at a particular time and place,i80699
nb,0.9982941258806625,4,0.00356534704333749,0.00356534704333749,0.0035653470433374902,0.5269843898497123,0.5269843898497123,0,1,"culture, civilisation, civilization",0,1,3,6.0,0.881,0.000148,3.0,0.3749999999953125,0.881,0.22222222221975307,0.2138074747818677,0.0,0.0,culture,a particular society at a particular time and place,i80699
es,0.884468629300006,4,0.003128462686567853,0.003128462686567853,0.003128462686567853,0.3962647228066956,0.3962647228066956,0,1,"culture, civilisation, civilization",2,2,7,9.5,0.7304999999999999,9.39e-05,3.5,0.6249999999947917,0.7304999999999999,0.19230769230621303,0.11776491458119047,0.05405405405390796,0.24999999999375,culture,a particular society at a particular time and place,i80699
en,0.0,1,0.002575617043441987,0.002575617043441987,0.002575617043441987,0.20181212729218623,0.20181212729218623,0,0,"culture, civilisation, civilization",7,3,15,10.333333333333334,0.36966666666666664,3.9846666666666666e-05,5.0,0.733333333326,0.36966666666666664,0.5714285714204081,0.08090512544363002,0.0349999999999825,0.18181818181652892,culture,a particular society at a particular time and place,i80699
it,0.9999999998633513,4,0.0045465661198263755,0.0045465661198263755,0.004546566119826376,0.7700952424566456,0.7700952424566456,1,1,"harbour, harbor, haven",2,1,6,5.0,0.518,0.000107,6.0,0.21428571428418366,0.518,0.29032258064328825,0.11107941885985256,0.027397260273935072,0.0,harbour,a sheltered port where ships can take on or discharge cargo,i82357
nb,0.27612445046303197,2,0.0042452318148162495,0.0042452318148162495,0.0042452318148162495,0.701519420542375,0.701519420542375,0,1,"harbour, harbor, haven",0,1,2,4.0,0.203,1.51e-05,2.0,0.1249999999984375,0.203,0.11111111110987654,0.0217395200122091,0.0,0.0,harbour,a sheltered port where ships can take on or discharge cargo,i82357
en,0.0,1,0.003676158077223158,0.003676158077223158,0.0036761580772231585,0.5575911994395345,0.5575911994395345,1,0,"harbour, harbor, haven",5,4,7,6.0,0.47633333333333333,1.2383333333333334e-05,2.0,0.299999999997,0.47633333333333333,0.14285714285510204,0.019958126400924734,0.0249999999999875,0.2727272727247934,harbour,a sheltered port where ships can take on or discharge cargo,i82357
es,0.18271905049218579,1,0.0036565919661162415,0.0036565919661162415,0.0036565919661162415,0.552254550180288,0.552254550180288,0,1,"harbour, harbor, haven",2,1,2,6.0,0.778,0.000115,2.0,0.33333333333055554,0.778,0.0769230769224852,0.14469500776058916,0.05405405405390796,0.0,harbour,a sheltered port where ships can take on or discharge cargo,i82357
es,0.7194680837835423,3,0.003914683460159635,0.003914683460159635,0.003914683460159635,0.6204574664474184,0.6204574664474184,1,0,countryside,0,1,14,5.0,0.205,0.000151,14.0,0.24999999999791667,0.205,0.9999999999923077,0.19064208617093767,0.0,0.0,countryside,rural regions,i82392
nb,0.999999999911578,4,0.0034614322929655272,0.0034614322929655272,0.0034614322929655272,0.4974054542790058,0.4974054542790058,1,1,countryside,0,3,9,8.666666666666666,0.6476666666666667,0.00011853386666666668,3.0,0.7083333333244791,0.6476666666666667,0.22222222221975307,0.17122282493759838,0.0,0.6666666666444444,countryside,rural regions,i82392
it,0.6176414034784802,3,0.0034574873756841587,0.0034574873756841587,0.0034574873756841587,0.4962651266273571,0.4962651266273571,0,1,countryside,0,1,9,8.0,0.8,0.000107,9.0,0.42857142856836733,0.8,0.4838709677388137,0.11107941885985256,0.0,0.0,countryside,rural regions,i82392
en,0.0,1,0.0023737272272845167,0.0023737272272845167,0.0023737272272845167,0.12018438289897004,0.12018438289897004,0,0,countryside,0,1,1,11.0,0.862,8.32e-06,1.0,0.799999999992,0.862,0.0,0.010940722367297139,0.0,0.0,countryside,rural regions,i82392
en,0.9999999994185735,4,0.0036623485055162523,0.0036623485055162523,0.0036623485055162527,0.5538276031677708,0.5538276031677708,0,0,cave,5,1,1,4.0,0.197,1.58e-05,1.0,0.099999999999,0.197,0.0,0.027540439062506594,0.0249999999999875,0.0,cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,i85180
nb,0.2452012222789422,1,0.003501404978307284,0.003501404978307284,0.0035014049783072846,0.5088873036821272,0.5088873036821272,0,0,cave,0,1,1,4.0,0.563,4.17e-06,1.0,0.1249999999984375,0.563,0.0,0.0059434120691514,0.0,0.0,cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,i85180
it,0.0,1,0.0032879139483017747,0.0032879139483017747,0.003287913948301775,0.4459762987720443,0.4459762987720443,0,0,cave,2,2,8,5.5,0.5035000000000001,4.73e-06,4.0,0.2499999999982143,0.5035000000000001,0.16129032257960457,0.00387435150997504,0.027397260273935072,0.09090909090826446,cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,i85180
es,0.2461596428466772,1,0.003280867922079906,0.003280867922079906,0.0032808679220799066,0.44383099114476815,0.44383099114476815,0,0,cave,0,1,1,5.0,0.542,1.41e-05,1.0,0.24999999999791667,0.542,0.0,0.015915557438251272,0.0,0.0,cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,i85180
nb,0.9999999997881261,4,0.004544771674448164,0.004544771674448164,0.004544771674448165,0.7697004830841264,0.7697004830841264,0,1,lake,1,1,5,3.0,0.195,1.48e-05,5.0,0.0,0.195,0.44444444443950615,0.02130595803755976,0.199999999996,0.0,lake,a body of (usually fresh) water surrounded by land,i85647
es,0.8867146242391544,4,0.004161715004234173,0.004161715004234173,0.004161715004234173,0.6816502433119752,0.6816502433119752,0,1,lake,6,1,1,4.0,0.185,3.02e-05,1.0,0.16666666666527777,0.185,0.0,0.03646411194954602,0.16216216216172388,0.0,lake,a body of (usually fresh) water surrounded by land,i85647
it,0.7390004283211591,3,0.004106294774724959,0.004106294774724959,0.004106294774724959,0.6682441005955979,0.6682441005955979,1,0,lake,7,1,2,4.0,0.184,4.37e-05,2.0,0.14285714285612244,0.184,0.03225806451592091,0.04472485971985797,0.09589041095877275,0.0,lake,a body of (usually fresh) water surrounded by land,i85647
en,0.0,1,0.0036978428298553704,0.0036978428298553704,0.003697842829855371,0.563472624032186,0.563472624032186,0,0,lake,51,1,3,4.0,0.193,6.76e-05,3.0,0.099999999999,0.193,0.2857142857102041,0.14249569639029397,0.2549999999998725,0.0,lake,a body of (usually fresh) water surrounded by land,i85647
nb,0.9999999983713189,4,0.003898172996111183,0.003898172996111183,0.003898172996111183,0.6162309741988069,0.6162309741988069,0,1,"mountain, mount",1,1,1,5.0,0.46,4.17e-05,1.0,0.249999999996875,0.46,0.0,0.06018201509778412,0.199999999996,0.0,mountain,a land mass that projects well above its surroundings; higher than a hill,i85815
