Language,Synset,ili,Gloss,Lemma,n_hyponyms,n_synonyms,n_syn_senses,word_length,word_frequency,pronounce_complexity,word_in_children_res,word_in_second_lang_learn_res,n_senses
it,Synset('omw-it-00428000-n'),i37653,,festività,3,2,7,9,8.13e-06,0.77,0,0,1
it,Synset('omw-it-00428000-n'),i37653,,gala,3,2,7,4,4.57e-06,0.182,0,0,6
it,Synset('omw-it-02984061-n'),i51645,,duomo,0,2,3,5,2e-05,0.474,0,0,1
it,Synset('omw-it-02984061-n'),i51645,,cattedrale,0,2,3,10,1.41e-05,0.815,0,0,2
it,Synset('omw-it-07574602-n'),i76564,,prima colazione,0,2,4,15,3.88e-05,0.797,0,0,1
it,Synset('omw-it-03781244-n'),i56337,,convento,2,2,10,8,1.29e-05,0.858,0,0,4
it,Synset('omw-it-03781244-n'),i56337,,monastero,2,2,10,9,1.51e-05,0.768,0,0,6
it,Synset('omw-it-02924116-n'),i51285,,autobus,3,7,9,7,2.88e-05,0.65,0,0,2
it,Synset('omw-it-02924116-n'),i51285,,pullman,3,7,9,7,1.05e-05,0.685,0,0,1
it,Synset('omw-it-02924116-n'),i51285,,corriera,3,7,9,8,8.91e-07,0.196,0,0,1
it,Synset('omw-iwn-02924116-n'),i51285,,torpedone,3,1,2,9,4.79e-08,0.774,0,0,2
it,Synset('omw-it-15169421-n'),i116935,,imbrunire,0,2,4,9,1.58e-07,0.784,0,0,1
it,Synset('omw-it-15169421-n'),i116935,,crepuscolo,0,2,4,10,1.91e-06,0.801,0,0,3
it,Synset('omw-it-00523513-n'),i38140,,sport,20,1,2,5,8.91e-05,0.759,0,1,2
nb,Synset('omw-nb-11524662-n'),i98170,,vær,2,1,1,3,0.000191,0.186,1,1,1
nb,Synset('omw-nb-07929519-n'),i78981,,mokka,0,2,2,5,2.29e-07,0.68,0,0,1
nb,Synset('omw-nb-07929519-n'),i78981,,kaffe,0,2,2,5,5.5e-05,0.713,0,1,1
nb,Synset('omw-nb-07933274-n'),i79004,,te,0,2,2,2,4.17e-05,0.194,0,1,1
nb,Synset('omw-nb-07933274-n'),i79004,,tevann,0,2,2,6,4.37e-08,0.768,0,0,1
nb,Synset('omw-nb-07724943-n'),i77610,,bønne,0,1,1,5,5.89e-07,0.651,0,0,1
nb,Synset('omw-nb-15168185-n'),i116927,,midnatt,0,1,1,7,1.35e-05,0.884,0,1,1
nb,Synset('omw-nb-03743902-n'),i56131,,minnesmerke,0,1,1,11,1.38e-06,0.858,0,0,1
nb,Synset('omw-nb-10547145-n'),i92688,,helgen,0,1,1,6,4.37e-05,0.75,0,0,1
nb,Synset('omw-nb-08639058-n'),i82357,,havn,0,1,2,4,1.51e-05,0.203,0,1,2
nb,Synset('omw-nb-10472799-n'),i92240,,prins,0,1,1,5,1.58e-05,0.786,0,1,1
nb,Synset('omw-nb-09503682-n'),i86562,,natur,0,1,10,5,3.89e-05,0.206,1,1,10
nb,Synset('omw-nb-07006119-n'),i73479,,teater,0,1,1,6,1.7e-05,0.205,0,1,1
nb,Synset('omw-nb-03028079-n'),i51914,,kirke,1,3,3,5,5.5e-05,0.664,0,1,1
nb,Synset('omw-nb-03028079-n'),i51914,,kirkebygning,1,3,3,12,3.55e-08,0.868,0,0,1
nb,Synset('omw-nb-03028079-n'),i51914,,guds hus,1,3,3,8,3.5e-05,0.893,0,0,1
nb,Synset('omw-nb-07447641-n'),i75850,,tamtam,0,3,13,6,0.0,0.788,0,0,4
nb,Synset('omw-nb-07447641-n'),i75850,,fest,0,3,13,4,6.17e-05,0.398,1,1,4
nb,Synset('omw-nb-07447641-n'),i75850,,selskap,0,3,13,7,7.24e-05,0.839,0,1,5
nb,Synset('omw-nb-05946687-n'),i68078,,tro,0,1,1,3,0.000324,0.446,1,0,1
nb,Synset('omw-nb-03899768-n'),i57055,,terrasse,0,1,1,8,4.47e-06,0.861,0,1,1
nb,Synset('omw-nb-15168790-n'),i116932,,daggry,0,1,1,6,1.29e-06,0.828,0,0,1
nb,Synset('omw-nb-11462526-n'),i97824,,storm,0,2,2,5,2.24e-05,0.779,0,1,1
nb,Synset('omw-nb-11462526-n'),i97824,,uvær,0,2,2,4,3.89e-06,0.763,0,0,1
nb,Synset('omw-nb-04373894-n'),i59896,,sverd,0,1,1,5,1.17e-05,0.461,0,1,1
nb,Synset('omw-nb-03787759-n'),i56381,,mosaikk,0,1,1,7,4.79e-07,0.799,0,0,1
nb,Synset('omw-nb-08226699-n'),i80343,,landsby,0,1,1,7,6.17e-06,0.831,1,1,1
nb,Synset('omw-nb-04306847-n'),i59503,,statue,0,2,2,6,2.69e-06,0.802,0,0,1
nb,Synset('omw-nb-04306847-n'),i59503,,billedstøtte,0,2,2,12,1.23e-08,0.892,0,0,1
nb,Synset('omw-nb-02512053-n'),i48880,,fisk,0,1,2,4,5.13e-05,0.398,1,1,2
nb,Synset('omw-nb-07850329-n'),i78427,,ostetype,0,2,2,8,0.0,0.87,0,0,1
nb,Synset('omw-nb-07850329-n'),i78427,,ost,0,2,2,3,2.04e-05,0.268,0,1,1
nb,Synset('omw-nb-09359803-n'),i85815,,fjell,1,1,1,5,4.17e-05,0.46,0,1,1
nb,Synset('omw-nb-04507155-n'),i60698,,paraply,0,1,1,7,2.04e-06,0.832,0,0,1
nb,Synset('omw-nb-08645033-n'),i82392,,landdistrikt,0,3,9,12,6.46e-08,0.896,0,0,2
nb,Synset('omw-nb-08645033-n'),i82392,,land,0,3,9,4,0.000355,0.195,1,1,5
nb,Synset('omw-nb-08645033-n'),i82392,,landområde,0,3,9,10,5.37e-07,0.852,0,0,2
nb,Synset('omw-nb-07886849-n'),i78683,,øl,0,4,4,2,7.08e-05,0.188,0,1,1
nb,Synset('omw-nb-07886849-n'),i78683,,humle,0,4,4,5,1.15e-06,0.564,0,0,1
nb,Synset('omw-nb-07886849-n'),i78683,,mjød,0,4,4,4,7.41e-07,0.767,0,0,1
nb,Synset('omw-nb-03467517-n'),i54496,,gitar,0,1,1,5,1.32e-05,0.694,0,1,1
nb,Synset('omw-nb-10150940-n'),i90350,,gjest,0,1,2,5,1.82e-05,0.357,1,1,2
nb,Synset('omw-nb-09468604-n'),i86379,,dal,0,1,1,3,8.91e-06,0.191,0,1,1
nb,Synset('omw-nb-09411430-n'),i86078,,elv,0,1,1,3,7.24e-06,0.194,1,1,1
nb,Synset('omw-nb-09238926-n'),i85180,,hule,0,1,1,4,4.17e-06,0.563,0,0,1
nb,Synset('omw-nb-02858304-n'),i50885,,båt,2,1,1,3,5.01e-05,0.203,1,1,1
nb,Synset('omw-nb-09328904-n'),i85647,,sjø,1,1,5,3,1.48e-05,0.195,0,1,5
nb,Synset('omw-nb-03612814-n'),i55356,,kjele,0,1,1,5,2.19e-06,0.472,0,1,1
nb,Synset('omw-nb-07669891-n'),i77246,,skinke,0,1,1,6,4.07e-06,0.669,0,0,1
nb,Synset('omw-nb-11501381-n'),i98034,,regn,1,2,2,4,2.4e-05,0.195,1,1,1
nb,Synset('omw-nb-11501381-n'),i98034,,regnvær,1,2,2,7,1.12e-06,0.817,0,0,1
nb,Synset('omw-nb-09475292-n'),i86414,,fall,0,2,4,4,0.0002,0.193,0,1,3
nb,Synset('omw-nb-09475292-n'),i86414,,foss,0,2,4,4,1.1e-05,0.199,0,0,1
nb,Synset('omw-nb-03322099-n'),i53601,,bondegård,1,3,5,9,6.17e-07,0.853,0,1,1
nb,Synset('omw-nb-03322099-n'),i53601,,landeiendom,1,3,5,11,6.17e-08,0.812,0,0,1
nb,Synset('omw-nb-03322099-n'),i53601,,gård,1,3,5,4,1.78e-05,0.191,0,1,3
nb,Synset('omw-nb-12620196-n'),i103203,,rose,0,1,1,4,2.19e-05,0.466,1,1,1
nb,Synset('omw-nb-07970721-n'),i79200,,stamtre,1,3,5,7,1.12e-07,0.882,0,0,2
nb,Synset('omw-nb-07970721-n'),i79200,,slekt,1,3,5,5,1.45e-05,0.824,0,1,2
nb,Synset('omw-nb-07970721-n'),i79200,,familie,1,3,5,7,0.000138,0.724,1,1,1
nb,Synset('omw-nb-15098161-n'),i116549,,tre,0,1,2,3,0.000692,0.442,0,0,2
nb,Synset('omw-nb-03138669-n'),i52549,,krone,0,1,1,5,1.48e-05,0.792,1,1,1
nb,Synset('omw-nb-09426788-n'),i86143,,sjø,0,2,8,3,1.48e-05,0.195,0,1,5
nb,Synset('omw-nb-09426788-n'),i86143,,hav,0,2,8,3,2.14e-05,0.187,0,1,3
nb,Synset('omw-nb-10231515-n'),i90847,,konge,0,1,3,5,4.37e-05,0.334,1,1,3
nb,Synset('omw-nb-07891726-n'),i78715,,vin,0,2,3,3,3.72e-05,0.188,0,1,2
nb,Synset('omw-nb-07891726-n'),i78715,,druevin,0,2,3,7,0.0,0.834,0,0,1
nb,Synset('omw-nb-11508382-n'),i98073,,snø,0,1,1,3,3.8e-05,0.486,0,1,1
nb,Synset('omw-nb-09428293-n'),i86148,,kyst,0,3,3,4,4.27e-06,0.397,0,1,1
nb,Synset('omw-nb-09428293-n'),i86148,,kystområde,0,3,3,10,1.38e-08,0.868,0,0,1
nb,Synset('omw-nb-09428293-n'),i86148,,kystland,0,3,3,8,1.1e-08,0.88,0,0,1
nb,Synset('omw-nb-15237250-n'),i117310,,sommer,0,1,1,6,0.000102,0.754,1,1,1
nb,Synset('omw-nb-03541696-n'),i54942,,kro,0,1,1,3,2.14e-06,0.446,0,0,1
nb,Synset('omw-nb-07352190-n'),i75330,,bølge,0,3,7,5,7.08e-06,0.647,0,1,1
nb,Synset('omw-nb-07352190-n'),i75330,,sjø,0,3,7,3,1.48e-05,0.195,0,1,5
nb,Synset('omw-nb-07352190-n'),i75330,,bølgegang,0,3,7,9,0.0,0.855,0,0,1
nb,Synset('omw-nb-15236475-n'),i117307,,årstid,5,1,1,6,9.55e-07,0.862,0,0,1
nb,Synset('omw-nb-03876519-n'),i56911,,maleri,0,1,1,6,5.25e-06,0.704,0,1,1
nb,Synset('omw-nb-08287844-n'),i80699,,kultur,0,1,3,6,0.000148,0.881,0,1,3
nb,Synset('omw-nb-02395406-n'),i48199,,gris,0,1,2,4,1.15e-05,0.644,0,1,2
nb,Synset('omw-nb-09450163-n'),i86272,,sol,0,1,2,3,3.09e-05,0.187,0,1,2
nb,Synset('omw-nb-00478262-n'),i37904,,fotball,0,1,1,7,0.0002,0.84,1,1,1
nb,Synset('omw-nb-00428000-n'),i37653,,tamtam,1,3,13,6,0.0,0.788,0,0,4
nb,Synset('omw-nb-00428000-n'),i37653,,fest,1,3,13,4,6.17e-05,0.398,1,1,4
nb,Synset('omw-nb-00428000-n'),i37653,,selskap,1,3,13,7,7.24e-05,0.839,0,1,5
nb,Synset('omw-nb-02984061-n'),i51645,,katedral,0,1,1,8,1.05e-06,0.826,0,0,1
nb,Synset('omw-nb-11458314-n'),i97801,,tåke,1,1,2,4,6.76e-06,0.598,0,0,2
nb,Synset('omw-nb-10093658-n'),i89974,,fisker,0,1,1,6,1.29e-05,0.804,0,1,1
nb,Synset('omw-nb-04228054-n'),i58996,,ski,0,1,1,3,6.31e-05,0.185,0,1,1
nb,Synset('omw-nb-07574602-n'),i76564,,frokost,0,1,1,7,2.51e-05,0.871,0,1,1
nb,Synset('omw-nb-03781244-n'),i56337,,kloster,1,1,2,7,4.9e-06,0.885,0,0,2
nb,Synset('omw-nb-02924116-n'),i51285,,buss,0,1,1,4,3.89e-05,0.273,0,1,1
nb,Synset('omw-nb-04157320-n'),i58585,,skulptur,2,1,1,8,1.66e-06,0.895,0,0,1
nb,Synset('omw-nb-07622708-n'),i76902,,brød,1,2,3,4,2.19e-05,0.796,1,1,2
nb,Synset('omw-nb-07622708-n'),i76902,,bakverk,1,2,3,7,7.59e-07,0.887,0,0,1
nb,Synset('omw-nb-15169421-n'),i116935,,tussmørke,0,1,1,9,5.75e-08,0.892,0,0,1
nb,Synset('omw-nb-00523513-n'),i38140,,idrett,1,2,2,6,2.88e-05,0.863,0,1,1
nb,Synset('omw-nb-00523513-n'),i38140,,sport,1,2,2,5,6.61e-05,0.801,0,1,1
nb,Synset('omw-nb-03624767-n'),i55427,,springer,0,2,3,8,5.25e-06,0.836,0,0,1
nb,Synset('omw-nb-03624767-n'),i55427,,hest,0,2,3,4,2.45e-05,0.393,0,1,2
es,Synset('omw-es-11524662-n'),i98170,,tiempo,6,4,9,6,0.000933,0.778,1,0,5
es,Synset('omw-es-11524662-n'),i98170,,condiciones,6,4,9,11,0.000135,0.815,0,0,2
es,Synset('omw-es-11524662-n'),i98170,,condición atmosférica,6,4,9,21,2.19e-06,0.84,0,0,1
es,Synset('omw-es-07929519-n'),i78981,,café,2,1,5,4,6.46e-05,0.198,0,0,5
es,Synset('omw-es-07933274-n'),i79004,,té,1,1,4,2,1.95e-05,0.196,0,0,4
es,Synset('omw-es-07724943-n'),i77610,,alubia,1,2,9,6,1.12e-07,0.189,0,1,3
es,Synset('omw-es-07724943-n'),i77610,,judía,1,2,9,5,7.59e-06,0.192,0,0,6
es,Synset('omw-es-15168185-n'),i116927,,medianoche,0,1,1,10,7.59e-06,0.758,0,0,1
es,Synset('omw-es-03743902-n'),i56131,,monumento,8,1,3,9,1.74e-05,0.206,0,1,3
es,Synset('omw-es-10547145-n'),i92688,,santo,13,1,3,5,7.41e-05,0.201,0,0,3
es,Synset('omw-es-08639058-n'),i82357,,puerto,2,1,2,6,0.000115,0.778,0,1,2
es,Synset('omw-es-10472799-n'),i92240,,príncipe,1,1,1,8,4.17e-05,0.821,0,0,1
es,Synset('omw-es-09503682-n'),i86562,,naturaleza,0,1,5,10,8.32e-05,0.197,0,1,5
es,Synset('omw-es-07006119-n'),i73479,,teatro,1,1,6,6,6.76e-05,0.202,0,1,6
es,Synset('omw-es-03028079-n'),i51914,,iglesia,3,1,4,7,0.000132,0.758,0,1,4
es,Synset('omw-es-07447641-n'),i75850,,fiesta,5,1,4,6,9.77e-05,0.758,1,0,4
es,Synset('omw-es-05946687-n'),i68078,,fe,7,3,10,2,8.51e-05,0.184,0,0,6
es,Synset('omw-es-05946687-n'),i68078,,credo,7,3,10,5,2.4e-06,0.567,0,1,2
es,Synset('omw-es-05946687-n'),i68078,,religión,7,3,10,8,4.68e-05,0.672,0,0,2
es,Synset('omw-es-03899768-n'),i57055,,patio,0,1,2,5,2.51e-05,0.205,0,0,2
es,Synset('omw-es-15168790-n'),i116932,,orto,0,2,4,4,2.24e-05,0.196,0,0,1
es,Synset('omw-es-15168790-n'),i116932,,amanecer,0,2,4,8,1.58e-05,0.192,0,0,3
es,Synset('omw-es-11462526-n'),i97824,,tormenta violenta,4,2,4,17,8.5e-06,0.835,0,0,1
es,Synset('omw-es-11462526-n'),i97824,,tormenta,4,2,4,8,2.75e-05,0.85,0,0,3
es,Synset('omw-es-04373894-n'),i59896,,espada,6,1,2,6,2.14e-05,0.707,0,0,2
es,Synset('omw-es-03787759-n'),i56381,,mosaico,0,1,4,7,2.75e-06,0.2,0,0,4
es,Synset('omw-es-08226699-n'),i80343,,pueblo,1,1,13,6,0.000324,0.748,1,0,13
es,Synset('omw-es-04306847-n'),i59503,,estatua,0,2,13,7,1.29e-05,0.815,0,0,1
es,Synset('omw-es-04306847-n'),i59503,,figura,0,2,13,6,5.89e-05,0.194,0,0,12
es,Synset('omw-es-02512053-n'),i48880,,pez,2,2,3,3,1.55e-05,0.196,1,0,2
es,Synset('omw-es-02512053-n'),i48880,,pisces,2,2,3,6,4.68e-08,0.758,0,0,1
es,Synset('omw-es-07850329-n'),i78427,,queso,4,1,1,5,2.82e-05,0.199,0,1,1
es,Synset('omw-es-09359803-n'),i85815,,monte,3,2,4,5,3.02e-05,0.2,0,1,1
es,Synset('omw-es-09359803-n'),i85815,,montaña,3,2,4,7,3.55e-05,0.737,0,1,3
es,Synset('omw-es-04507155-n'),i60698,,paraguas,0,1,1,8,6.03e-06,0.734,0,0,1
es,Synset('omw-es-08645033-n'),i82392,,campo,0,1,14,5,0.000151,0.205,1,0,14
es,Synset('omw-es-07886849-n'),i78683,,cerveza,4,1,1,7,3.31e-05,0.694,0,0,1
es,Synset('omw-es-03467517-n'),i54496,,guitarra,1,1,2,8,1.86e-05,0.197,0,1,2
es,Synset('omw-es-10150940-n'),i90350,,huésped,1,2,5,7,4.27e-06,0.719,0,0,3
es,Synset('omw-es-10150940-n'),i90350,,invitado,1,2,5,8,2.29e-05,0.768,0,0,2
es,Synset('omw-es-09468604-n'),i86379,,valle,3,1,1,5,4.57e-05,0.195,0,1,1
es,Synset('omw-es-09411430-n'),i86078,,río,37,1,2,3,0.000126,0.179,1,1,2
es,Synset('omw-es-09238926-n'),i85180,,cueva,0,1,1,5,1.41e-05,0.542,0,0,1
es,Synset('omw-es-02858304-n'),i50885,,barco,8,3,12,5,3.31e-05,0.204,1,1,2
es,Synset('omw-es-02858304-n'),i50885,,embarcación,8,3,12,11,3.47e-06,0.81,0,0,2
es,Synset('omw-es-02858304-n'),i50885,,bote,8,3,12,4,1.05e-05,0.204,1,0,8
es,Synset('omw-es-09328904-n'),i85647,,lago,6,1,1,4,3.02e-05,0.185,0,1,1
es,Synset('omw-es-03612814-n'),i55356,,caldera,0,1,1,7,4.57e-06,0.73,0,0,1
es,Synset('omw-es-07669891-n'),i77246,,jamón,0,1,1,5,7.24e-06,0.191,0,0,1
es,Synset('omw-es-11501381-n'),i98034,,lluvia,3,1,3,6,4.07e-05,0.186,1,1,3
es,Synset('omw-es-09475292-n'),i86414,,cascada,9,1,2,7,3.63e-06,0.766,0,0,2
es,Synset('omw-es-03322099-n'),i53601,,hacienda,4,4,15,8,2.75e-05,0.845,0,0,7
es,Synset('omw-es-03322099-n'),i53601,,estancia,4,4,15,8,1.58e-05,0.816,0,0,4
es,Synset('omw-es-03322099-n'),i53601,,cortijo,4,4,15,7,1.95e-06,0.767,0,0,2
es,Synset('omw-es-12620196-n'),i103203,,rosa,0,1,5,4,5.13e-05,0.186,0,0,5
es,Synset('omw-es-07970721-n'),i79200,,linaje,3,2,8,6,4.57e-06,0.189,0,0,2
es,Synset('omw-es-07970721-n'),i79200,,familia,3,2,8,7,0.000339,0.191,1,0,6
es,Synset('omw-es-15098161-n'),i116549,,madera,12,1,3,6,4.9e-05,0.189,0,0,3
es,Synset('omw-es-03138669-n'),i52549,,corona,0,1,6,6,2.95e-05,0.2,0,0,6
es,Synset('omw-es-09426788-n'),i86143,,mar,5,2,5,3,0.000129,0.176,0,1,2
es,Synset('omw-es-09426788-n'),i86143,,océano,5,2,5,6,1.86e-05,0.192,0,0,3
es,Synset('omw-es-10231515-n'),i90847,,rey,9,2,6,3,0.000174,0.177,1,0,3
es,Synset('omw-es-10231515-n'),i90847,,monarca,9,2,6,7,7.94e-06,0.199,0,1,3
es,Synset('omw-es-07891726-n'),i78715,,vino,7,1,1,4,9.12e-05,0.197,0,1,1
es,Synset('omw-es-11508382-n'),i98073,,nieve,0,1,4,5,2.45e-05,0.208,0,0,4
es,Synset('omw-es-09428293-n'),i86148,,costa,1,2,6,5,0.000105,0.206,0,1,3
es,Synset('omw-es-09428293-n'),i86148,,playa,1,2,6,5,5.25e-05,0.544,0,1,3
es,Synset('omw-es-15237250-n'),i117310,,verano,0,1,1,6,8.71e-05,0.2,1,1,1
es,Synset('omw-es-03541696-n'),i54942,,posada,1,5,8,6,5.5e-06,0.202,0,1,1
es,Synset('omw-es-03541696-n'),i54942,,albergue,1,5,8,8,3.55e-06,0.743,0,1,2
es,Synset('omw-es-03541696-n'),i54942,,hospedaje,1,5,8,9,1.95e-06,0.752,0,0,3
es,Synset('omw-es-07352190-n'),i75330,,ola,4,1,4,3,1.62e-05,0.18,0,0,4
es,Synset('omw-es-15236475-n'),i117307,,estación,5,1,3,8,6.46e-05,0.804,0,1,3
es,Synset('omw-es-03876519-n'),i56911,,pintura,3,2,10,7,3.55e-05,0.757,0,1,5
es,Synset('omw-es-03876519-n'),i56911,,cuadro,3,2,10,6,3.31e-05,0.752,0,1,5
es,Synset('omw-es-08287844-n'),i80699,,cultura,2,2,7,7,0.000174,0.757,0,1,4
es,Synset('omw-es-08287844-n'),i80699,,civilización,2,2,7,12,1.38e-05,0.704,0,0,3
es,Synset('omw-es-02395406-n'),i48199,,sus,1,5,10,3,0.00234,0.188,0,0,2
es,Synset('omw-es-02395406-n'),i48199,,cerdo,1,5,10,5,1.26e-05,0.192,0,0,5
es,Synset('omw-es-02395406-n'),i48199,,puerco,1,5,10,6,2.82e-06,0.778,0,1,1
es,Synset('omw-es-09450163-n'),i86272,,sol,0,1,7,3,0.000123,0.183,0,1,7
es,Synset('omw-es-00478262-n'),i37904,,fútbol,0,1,2,6,0.000115,0.701,1,1,2
es,Synset('omw-es-00428000-n'),i37653,,celebración,3,2,5,11,3.02e-05,0.76,0,0,3
es,Synset('omw-es-00428000-n'),i37653,,festejo,3,2,5,7,3.39e-06,0.757,0,0,2
es,Synset('omw-es-02984061-n'),i51645,,catedral,0,1,2,8,1.82e-05,0.753,0,1,2
es,Synset('omw-es-11458314-n'),i97801,,niebla,0,1,1,6,8.13e-06,0.676,0,0,1
es,Synset('omw-es-10093658-n'),i89974,,pescador,0,1,1,8,3.63e-06,0.761,0,0,1
es,Synset('omw-es-04228054-n'),i58996,,tabla de esquí,0,1,1,14,3.59e-06,0.802,0,0,1
es,Synset('omw-es-07574602-n'),i76564,,desayuno,0,2,6,8,2.4e-05,0.201,0,1,2
es,Synset('omw-es-07574602-n'),i76564,,almuerzo,0,2,6,8,1.45e-05,0.773,1,1,4
es,Synset('omw-es-03781244-n'),i56337,,monasterio,3,2,3,10,1.15e-05,0.79,0,1,1
es,Synset('omw-es-03781244-n'),i56337,,convento,3,2,3,8,1.45e-05,0.866,0,0,2
es,Synset('omw-es-02924116-n'),i51285,,autobús,2,1,1,7,2.04e-05,0.2,0,1,1
es,Synset('omw-es-04157320-n'),i58585,,escultura,5,1,2,9,7.24e-06,0.811,0,1,2
es,Synset('omw-es-07622708-n'),i76902,,pastas,8,2,2,6,2.57e-06,0.736,0,0,1
es,Synset('omw-es-07622708-n'),i76902,,repostería,8,2,2,10,1.02e-06,0.747,0,0,1
es,Synset('omw-es-15169421-n'),i116935,,anochecida,1,3,6,10,0.0,0.769,0,0,1
es,Synset('omw-es-15169421-n'),i116935,,anochecer,1,3,6,9,2.75e-06,0.765,0,0,2
es,Synset('omw-es-15169421-n'),i116935,,crepúsculo,1,3,6,10,2.14e-06,0.802,0,0,3
es,Synset('omw-es-00523513-n'),i38140,,deporte,8,1,2,7,4.9e-05,0.208,0,1,2
es,Synset('omw-es-03624767-n'),i55427,,caballo,0,1,8,7,3.63e-05,0.198,0,0,8
